team,matches_played,matches_won,win_percentage
Chennai Super Kings,164,100,60.98
Deccan Chargers,75,29,38.67
Delhi Capitals,16,10,62.5
Delhi Daredevils,161,67,41.61
Gujarat Lions,30,13,43.33
Kings XI Punjab,176,82,46.59
Kochi Tuskers Kerala,14,6,42.86
Kolkata Knight Riders,178,92,51.69
Mumbai Indians,187,109,58.29
Pune Warriors,46,12,26.09
Rajasthan Royals,147,75,51.02
Rising Pune Supergiant,16,10,62.5
Rising Pune Supergiants,14,5,35.71
Royal Challengers Bangalore,180,84,46.67
Sunrisers Hyderabad,108,58,53.7
